pdb_id,molecule_name,entry_uniprot_accession,experimental_method,title
5pb7,Bromodomain adjacent to zinc finger domain protein 2B,Q9UIF8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BAZ2B in complex with N09440a
5q1j,DNA cross-link repair 1A protein,Q6PJP8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCLRE1A in complex with FMSOA000341b
5q1v,DNA cross-link repair 1A protein,Q6PJP8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCLRE1A in complex with FMOPL000166a
5qfe,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOOA000509a
5qh3,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with NUOOA000191
5qq8,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOOA000563a
5qs6,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury G177D variant in complex with Z44592329
5ph7,Lysine-specific demethylase 4D,Q6B0I6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD2D in complex with N09504a
5po3,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10164a
5qe7,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000601a
5qg1,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000619a
5qi1,Protein mono-ADP-ribosyltransferase PARP14,Q460N5,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of human PARP14 Macrodomain 3 in complex with FMOPL000474a
5qjj,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z24758179
5qop,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with NUOOA000023a
5qqs,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z275151340
5qsr,Cohesin subunit SA-1,Q8WVM7,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human STAG1 in complex with Z136583524
5qds,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000108a
5qf2,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOMB000187a
5qgy,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with NUOOA000158
5qka,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z2377835233
5qpg,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOPL000291a
5qq7,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOOA000562a
5qs5,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury in complex with Z32400357
5phh,Lysine-specific demethylase 4D,Q6B0I6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD2D in complex with N09457a
5qgm,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with OX-160
5qic,2-Hydroxyacid oxidase 1,Q9UJM8,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of HAO1 in complex with Z30620520
5qjy,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z94597856
5qoo,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with FMOPL000144a
5poj,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10941a
5q20,DNA cross-link repair 1A protein,Q6PJP8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCLRE1A in complex with FMOPL000524a
5qdi,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000157a
5qf3,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOMB000194a
5qgs,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with FMOPL000476a
5qou,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with Z296300542
5qr4,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z2856434826
5pny,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10174a
5qg4,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOOA000666a
5qi7,Protein mono-ADP-ribosyltransferase PARP14,Q460N5,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of human PARP14 Macrodomain 3 in complex with FMOPL000506a
5qk4,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z44590919
5qoz,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with PB1787571279
5qrc,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z31721798
5pb9,Bromodomain adjacent to zinc finger domain protein 2B,Q9UIF8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BAZ2B in complex with N09521a
5ph1,Lysine-specific demethylase 4D,Q6B0I6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD2D in complex with N09449a
5pon,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10980a
5qej,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMSOA001247b
5qgn,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with OX-210
5qpn,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOPL000576a
5qqt,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z2856434834
5qst,Cohesin subunit SA-1,Q8WVM7,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human STAG1 in complex with Z2447286438
5ph2,Lysine-specific demethylase 4D,Q6B0I6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD2D in complex with N09597a
5qdy,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_XST00000599c
5qfd,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOOA000505a
5qgx,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with NUOOA000155
5qia,Protein mono-ADP-ribosyltransferase PARP14,Q460N5,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of human PARP14 Macrodomain 3 in complex with FMOPL000242a
5qjn,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z1439422127
5qom,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with FMOPL000576a
5qq6,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOOA000530a
5qrm,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury in complex with Z1899842917
5qsu,Cohesin subunit SA-1,Q8WVM7,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human STAG1 in complex with Z2856434926
5ph6,Lysine-specific demethylase 4D,Q6B0I6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD2D in complex with N09736a
5po4,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10170a
5qf8,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOMB000114a
5qh0,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with NUOOA000180
5qj4,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z1827602749
5qoj,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with FMOCR000171b
5qqk,Ras-related C3 botulinum toxin substrate 1,"P63000,O60229",X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of Kalirin/Rac1 in complex with MolPort-009-359-835
5qqk,Kalirin,"P63000,O60229",X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of Kalirin/Rac1 in complex with MolPort-009-359-835
5pbf,Bromodomain adjacent to zinc finger domain protein 2B,Q9UIF8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BAZ2B in complex with N09645a
5por,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10982a
5qdj,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000211a
5qey,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000708a
5qge,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000619a
5qhx,Protein mono-ADP-ribosyltransferase PARP14,Q460N5,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of human PARP14 Macrodomain 3 in complex with FMOPL000278a
5qjf,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z52425517
5qq3,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOPL000672a
5qrg,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury in complex with Z275151340
5qse,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury G177D variant in complex with Z2017168803
5phi,Lysine-specific demethylase 4D,Q6B0I6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD2D in complex with N09480a
5po1,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10152a
5poq,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10974a
5qea,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000733a
5qga,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOOA000540a
5qie,2-Hydroxyacid oxidase 1,Q9UJM8,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of HAO1 in complex with Z2856434894
5qpe,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOPL000295a
5qqr,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z1171217421
5qfa,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_XST00000752b
5qh9,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with PCM-0102716
5qj8,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z2856434829
5qot,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with Z1592710382
5qr0,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z730649594
5qso,Cohesin subunit SA-1,Q8WVM7,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human STAG1 in complex with Z466628048
5po0,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10146a
5q26,DNA cross-link repair 1A protein,Q6PJP8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCLRE1A in complex with FMOPL000710a
5qe4,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000514a
